sku,Product Code,Product Name,Cost Price,Retail Price
1014045UPEC,1014045UPEC,Box of 130 x 1014045 UPEC Bends,137.8,924.3
1014045W,1014045W,40mmx45 PVC Inspection Bend,6.97,16.6
1014060,1014060,40mmx60 PVC Waste Bend,9.31,23.27
1014088,1014088,40mmx88 PVC Waste Bend,1.06,6.06
1014088UPEC,1014088UPEC,Box of 100 x 1014088 UPEC Bends,106,606
1014088W,1014088W,40mmx88 PVC Inspection Bend,8,20
1015015,1015015,50mmx15 PVC Waste Bend,6.07,17.35
1015045,1015045,50mmx45 PVC Waste Bend,1.39,12.08
1015045UPEC,1015045UPEC,Box of 75 x 1015045UPEC UPEC Bends,104.25,906
1015045W,1015045W,50mmx45 PVC Inspection Bend,9.06,22.65
1015060,1015060,WSL 50mmx68 PVC Waste Bend,5.28,13.19
1015088,1015088,50mmx88 PVC Waste Bend,1.39,8.83
1015088UPEC,1015088UPEC,Box of 55 x 1015088 UPEC Bends,76.45,485.65
1015088W,1015088W,50mmx88 PVC Inspection Bend,8.35,20.88
1016515,1016515,65mmx15 PVC Plain Bend,12.58,31.45
1016545,1016545,65mmx45 PVC Plain Bend,3.42,20.48
1016545UPEC,1016545UPEC,Box of 155 x 1016545 UPEC Bends,530.1,3174.4
1016545W,1016545W,65mmx45 PVC Inspection Bend,15.74,39.35
1016588,1016588,65mmx88 PVC Plain Bend,3.41,20.46
1016588UPEC,1016588UPEC,Box of 100 x 1016588 UPEC Bends,341,2046
1016588W,1016588W,65mmx88 PVC Inspection Bend,15.43,38.57
1018015,1018015,80mmx15 PVC Plain Bend,13.26,33.15
1018045,1018045,80mmx45 PVC Plain Bend,9.46,27.02
1018045UPEC,1018045UPEC,Box of 96 x 1018045 UPEC Bends,908.16,2593.92
1018045W,1018045W,80mmx45 PVC Inspection Bend,23.19,57.97
1018088,1018088,80mmx88 PVC Plain Bend,9.48,27.08
1018088UPEC,1018088UPEC,Box of 63 x 1018088 UPEC Bends,597.24,1706.04
1018088W,1018088W,80mmx88 PVC Inspection Bend,28.34,70.84
10210088,10210088,100mmx88 PVC Rear Access Bend SCJ,18.8,72.64
10210088UPEC,10210088UPEC,Box of 19 x 10210088 UPEC Access Bend,357.2,1380.16
1021812,1021812,500ml Bostik PVC Pressure Pipe Cement,18.14,28.51
1021813,1021813,250ml Bostik PVC Pressure Pipe Cement,12.67,19.91
1021814,1021814,125ml Bostik PVC Pressure Pipe Cement,10.32,16.22
1021CP,1021CP,Fantini Mare Wallmount Bath Filler Chrome,1819.97,2022.19
102265,102265,Caroma Leda Urinal Trap Only,53.33,66.66
102742,102742,"3/16"" - 3/8"" Reed Quad Mini Bender",67.99,88.3
10310045,10310045,100mmx45 PVC SMALL Access Bend SCJ,19.52,48.81
10310045BIG,10310045BIG,100mmx45 PVC BIG Access Bend SCJ,20.71,53.97
10310088,10310088,100mmx88 PVC SMALL Access Bend SCJ,19.52,48.81
10310088BIG,10310088BIG,100mmx88 PVC BIG Access Bend SCJ,21.58,53.96
10310088S,10310088S,Code change please use 10310088,19.52,48.81
1032SC,1032SC,32mm Starkie Straight Connector,114.59,159.15
1037-304300,1037-304300,300x25mm Knurled Antislip Grab Rail,44.37,49.3
1037-304400,1037-304400,400x25mm Knurled Antislip Grab Rail,53.44,59.38
103T,103T,Alba 103T Basin Tap Acrylic Handle CP,57.01,71.26
1040SC,1040SC,40mm Starkie Straight Connector,137.76,191.33
10410045,10410045,100mmx45 PVC Plain Junction SCJ,5.44,43.43
10410045MF,10410045MF,100mmx45 M&F PVC Plain Junction SCJ,20.51,82.02
10410045T,10410045T,100mmx45 PVC Threaded Junction,9.48,45.15
10410045UPEC,10410045UPEC,Box of 18 x 10410045 UPEC Junctions,97.92,781.74
1041005045,1041005045,100x50mmx45 PVC Reducing Junction SCJ,9.93,67.57
1041005045UPEC,1041005045UPEC,Box of 30 x 1041005045 UPEC Junctions,297.9,2027.1
1041005088,1041005088,100x50mmx88 PVC Reducing Junction SCJ,21.21,53.03
1041006545,1041006545,100x65mmx45 PVC Reducing Junction SCJ,8.9,65.84
1041006588,1041006588,100x65mmx88 PVC Reducing Junction SCJ,35.62,77.44
1041008045,1041008045,100x80mmx45 PVC Reducing Junction SCJ,27.79,69.47
10410088,10410088,100mmx88 PVC Plain Junction SCJ,4.72,37.32
10410088MF,10410088MF,100mmx88 M&F PVC Plain Junction SCJ,20.51,82.02
10410088T,10410088T,100mmx88 PVC Threaded Junction,9.69,38.76
10410088UPEC,10410088UPEC,Box of 20 x 10410088 UPEC Junctions,94.4,746.4
10410088W,10410088W,100mmx88 PVC Inspection Junction SCJ,39.73,99.32
10415010045F,10415010045F,150x100mmx45 PVC Female Reducing Junction SCJ,47.71,110.95
10415010045MF,10415010045MF,150x100mmx45 PVC MF Reducing Junction SCJ,49.3,129.74
10415010088,10415010088,150x100mmx88 PVC Female Reducing Junction SCJ,85.57,372.06
10415045,10415045,150mmx45 PVC Plain Junction SCJ,45.68,152.26
10415088,10415088,150mmx88 PVC Plain Junction SCJ,46.52,160.43
10423.1,10423.1,Heron Semi Recess Basin 560x443,238.52,265.02
1043245,1043245,32mmx45 PVC Plain Junction,6.32,15.81
1043288,1043288,32mmx88 PVC Plain Junction,6.32,15.81
1044045,1044045,40mmx45 PVC Plain Junction,3.73,15.35
1044045UPEC,1044045UPEC,Box of 64 x 1044045 UPEC Junctions,238.72,982.4
1044088,1044088,40mmx88 PVC Plain Junction,3.51,13.49
1044088UPEC,1044088UPEC,Box of 74 x 1044088 UPEC Junctions,259.74,998.26
1044088W,1044088W,40mmx88 PVC Inspection Junction,13.28,33.19
104500,104500,Internal Pipe Cutter - Abrasive Blade,39.45,51.24
104501,104501,Internal Pipe Cutter - Saw Blade,49.9,64.8
104502,104502,Reed Abrasive Blade - Internal Cutter,7.78,10.1
104503,104503,Reed Internal Pipe Cutter Saw Blade,24.55,31.88
